YEARS,Tourists_Number,Overnight_Stay,Tourists_Spending,Avg_Stay,Avg_Spending_Trip,Avg_Spending_Night,Province,Tourism_Type
2015,6.0,59.0,43.0,10.0,7029.0,727.0,Albaha,Inbound
2015,6.0,59.0,43.0,10.0,7029.0,727.0,Albaha,Inbound
2015,0.0,0.0,0.0,0.0,0.0,0.0,Albaha,Inbound
2015,0.0,0.0,0.0,0.0,0.0,0.0,Albaha,Inbound
2015,1041.0,8807.0,1120.0,8.5,1075.0,127.0,Albaha,Domestic
2015,947.0,7909.0,1016.0,8.4,1073.0,128.0,Albaha,Domestic
2015,33.0,269.0,39.0,8.3,1210.0,146.0,Albaha,Domestic
2015,62.4,629.1,65.0,10.1,1037.0,103.0,Albaha,Domestic
2016,1.0,2.0,0.4,3.0,720.0,240.0,Albaha,Inbound
2016,1.0,2.0,0.4,3.0,720.0,240.0,Albaha,Inbound
2016,0.0,0.0,0.0,0.0,0.0,0.0,Albaha,Inbound
2016,0.0,0.0,0.0,0.0,0.0,0.0,Albaha,Inbound
2016,1223.0,9707.0,1350.0,7.9,1104.0,139.0,Albaha,Domestic
2016,1148.0,9125.0,1269.0,8.0,1105.0,139.0,Albaha,Domestic
2016,27.0,276.0,35.0,10.4,1312.0,127.0,Albaha,Domestic
2016,49.3,307.0,47.0,6.2,950.0,152.0,Albaha,Domestic
2017,0.0,0.0,0.0,0.0,0.0,0.0,Albaha,Inbound
2017,0.0,0.0,0.0,0.0,0.0,0.0,Albaha,Inbound
2017,0.0,0.0,0.0,0.0,0.0,0.0,Albaha,Inbound
2017,0.0,0.0,0.0,0.0,0.0,0.0,Albaha,Inbound
2017,1106.0,7126.0,1028.0,6.4,929.0,144.0,Albaha,Domestic
2017,1035.0,6729.0,968.0,6.5,935.0,144.0,Albaha,Domestic
2017,33.0,122.0,21.0,3.7,646.0,175.0,Albaha,Domestic
2017,38.0,275.0,39.0,7.3,1029.0,141.0,Albaha,Domestic
2018,4.0,71.0,47.0,17.0,11481.0,664.0,Albaha,Inbound
2018,4.0,71.0,47.0,17.0,11481.0,664.0,Albaha,Inbound
2018,0.0,0.0,0.0,0.0,0.0,0.0,Albaha,Inbound
2018,0.0,0.0,0.0,0.0,0.0,0.0,Albaha,Inbound
2018,1235.0,8864.0,1380.0,7.2,1118.0,156.0,Albaha,Domestic
2018,1073.0,7683.0,1180.0,7.2,1100.0,154.0,Albaha,Domestic
2018,57.0,329.0,49.0,5.8,860.0,148.0,Albaha,Domestic
2018,105.0,852.0,151.0,8.1,1438.0,178.0,Albaha,Domestic
2019,3.0,26.0,15.0,10.0,5732.0,572.0,Albaha,Inbound
2019,3.0,26.0,15.0,10.0,5732.0,572.0,Albaha,Inbound
2019,0.0,0.0,0.0,0.0,0.0,0.0,Albaha,Inbound
2019,0.0,0.0,0.0,0.0,0.0,0.0,Albaha,Inbound
